Date,Open,High,Low,Close,Volume
2020-08-11,2959.29,3012.48,2959.29,3005.63,62301572540
2020-08-12,2990.9,3053.99,2985.83,3053.99,42812141977
2020-08-13,3057.63,3080.93,3047.86,3080.44,37733992666
2020-08-14,3075.96,3075.96,3045.5,3061.99,27276860906
2020-08-17,3070.81,3090.25,3042.25,3052.46,39345365567
2020-08-18,3056.72,3072.85,3048.78,3050.7,22429199914
2020-08-19,3048.22,3073.84,3042.47,3056.54,20684371089
2020-08-20,3044.92,3044.92,2993.69,2993.69,33628316396
2020-08-21,3013.4,3024.54,2973.79,2995.61,38669964633
2020-08-24,3005.86,3036.1,3005.86,3029.42,43914983187
2020-08-25,3038.76,3042.4,3020.93,3029.05,38510581116
2020-08-26,3041.19,3052.98,3024.58,3051.97,35486749361
2020-08-27,3051.2,3055.61,3002.1,3012.01,26044528278
2020-08-28,3015.7,3015.7,2977.41,2980.17,17624617576
2020-08-31,2993.02,3012.44,2962.48,2966.2,33025968905
2020-09-01,2976.07,2992.88,2968.72,2975,27473200104
2020-09-02,2989.76,3002.12,2946.89,2956.5,34963965719
2020-09-03,2954.62,2966.96,2917.34,2931.92,38090646151
2020-09-04,2920.22,2944.36,2910.72,2921.55,24372560870
2020-09-07,2929.38,2946.68,2926.54,2932.29,15801826841
2020-09-08,2937.18,2948.14,2877.17,2888.79,30594733480
2020-09-09,2880.83,2898.4,2873.97,2876.07,17267159969
2020-09-10,2888.09,2897.55,2858.96,2897.55,27121698090
2020-09-11,2888.92,2911.05,2876.55,2910.51,15751678528
2020-09-14,2918.29,2937.75,2918.29,2928.38,28220833037
2020-09-15,2936.42,2981.72,2932.95,2980.58,28649173311
2020-09-16,2982.49,2990.5,2960.93,2975.01,24627351013
2020-09-17,2947.54,2974.32,2945.84,2971.74,28429384053
2020-09-18,2976.1,2977.13,2945.09,2951.79,30563513641
2020-09-21,2946.18,2946.18,2858.2,2863.67,32370128163
2020-09-22,2874,2907.56,2869.28,2884.66,54446372511
2020-09-23,2933.33,2968.55,2916.39,2916.39,30995189075
2020-09-24,2905.55,2919.64,2881.11,2912.76,38096360040
2020-09-25,2906.3,2907.33,2870.43,2896.83,21249445381
2020-09-28,2909.62,2938.35,2909.62,2927.17,20439800692
2020-09-29,2935.77,2946.44,2889.22,2910.12,37459705198
2020-09-30,2908.55,2919.19,2894.09,2905.81,22684235032
2020-10-01,2911.08,2919.25,2883.08,2889.8,18214221942
2020-10-02,2840.72,2859.01,2826.37,2852.42,22570958541
2020-10-05,2860.53,2882.27,2846.67,2881.98,18227801289
2020-10-06,2885.38,2906.04,2885.36,2892.99,16794735880
2020-10-07,2883.58,2888.2,2839.03,2842.58,26823510739
2020-10-08,2850.65,2859.31,2837.13,2846.39,21358101878
2020-10-09,2842.59,2842.59,2811.99,2834.09,16262102558
2020-10-12,2834.33,2861.27,2828.83,2846.14,16291599950
2020-10-13,2846.04,2859.15,2823.13,2829.23,15001847706
2020-10-14,2829.88,2856.23,2824.74,2856.08,15490164682
2020-10-15,2849.24,2850.11,2804.04,2817.29,27574806601
2020-10-16,2819.04,2819.04,2786.27,2799.54,23372351247
2020-10-19,2797.65,2809.42,2787.5,2794.27,24602591995
2020-10-20,2785.99,2817.59,2774.55,2803.06,111113575492
2020-10-21,2811.87,2816.53,2782.36,2786.23,93844886363
2020-10-22,2784.18,2814.12,2783.37,2803.17,68076099703
2020-10-23,2807.3,2826.39,2801.26,2816.7,44550569820
2020-10-26,2812.48,2818.86,2785.59,2785.59,30780653736
2020-10-27,2784.13,2790.08,2758.03,2763.03,27085729989
2020-10-28,2758.84,2758.84,2681.96,2693.46,40531528236
2020-10-29,2704.5,2725.25,2683.22,2709.04,43400036025
2020-10-30,2698.94,2705.55,2666.47,2690.59,34113262926
2020-11-02,2681.19,2743.41,2659.61,2737.54,28319296439
2020-11-03,2753.97,2791.14,2750.36,2786.42,37404161010
2020-11-05,2824.45,2869.85,2814.25,2861.39,44027553447
2020-11-06,2845.74,2895.62,2833.78,2895.62,26353286948
2020-11-09,2919.08,2988.88,2910.66,2987.75,71501713962
2020-11-10,2965.92,3013.48,2943.59,2998.61,40007135702
2020-11-11,3004.63,3031.15,3004.2,3015.03,63918170036
2020-11-12,2997.79,3027.68,2988.03,3025.83,112111691482
2020-11-13,3007.16,3027.26,2995.3,3025.22,110167727500
2020-11-16,3054.35,3081.23,3047.55,3079.74,91013475312
2020-11-17,3081.05,3087.19,3028.88,3052.22,70707198796
2020-11-18,3046.02,3086.37,3036.73,3080.68,46083260199
2020-11-19,3067.06,3070.68,3041.07,3046.49,29569676391
2020-11-20,3050.81,3060.63,3035.56,3051.04,38789524871
