"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"08/02/2024,""1.8143"",""1.8156"",""1.8209"",""1.8126"","""",""-0.05%"""
"07/02/2024,""1.8152"",""1.8185"",""1.8191"",""1.8134"","""",""-0.16%"""
"06/02/2024,""1.8181"",""1.8205"",""1.8241"",""1.8170"","""",""-0.11%"""
"05/02/2024,""1.8201"",""1.8145"",""1.8240"",""1.8131"","""",""0.41%"""
"02/02/2024,""1.8127"",""1.7989"",""1.8145"",""1.7945"","""",""0.79%"""
"01/02/2024,""1.7985"",""1.8079"",""1.8146"",""1.7982"","""",""-0.51%"""
"31/01/2024,""1.8077"",""1.8032"",""1.8120"",""1.7962"","""",""0.27%"""
"30/01/2024,""1.8028"",""1.8053"",""1.8092"",""1.8013"","""",""-0.12%"""
"29/01/2024,""1.8050"",""1.8039"",""1.8118"",""1.8025"","""",""0.18%"""
"26/01/2024,""1.8018"",""1.8032"",""1.8090"",""1.7968"","""",""-0.05%"""
"25/01/2024,""1.8027"",""1.7968"",""1.8074"",""1.7942"","""",""0.35%"""
"24/01/2024,""1.7965"",""1.8019"",""1.8034"",""1.7889"","""",""-0.28%"""
"23/01/2024,""1.8015"",""1.7971"",""1.8074"",""1.7916"","""",""0.26%"""
"22/01/2024,""1.7968"",""1.7929"",""1.7977"",""1.7929"","""",""0.13%"""
"19/01/2024,""1.7944"",""1.7982"",""1.8001"",""1.7945"","""",""-0.19%"""
"18/01/2024,""1.7979"",""1.7972"",""1.8033"",""1.7931"","""",""0.07%"""
"17/01/2024,""1.7967"",""1.7987"",""1.8037"",""1.7967"","""",""-0.07%"""
"16/01/2024,""1.7979"",""1.7860"",""1.8008"",""1.7858"","""",""0.67%"""
"15/01/2024,""1.7859"",""1.7837"",""1.7890"",""1.7833"","""",""0.02%"""
"12/01/2024,""1.7856"",""1.7826"",""1.7886"",""1.7802"","""",""0.19%"""
"11/01/2024,""1.7822"",""1.7824"",""1.7894"",""1.7794"","""",""0.01%"""
"10/01/2024,""1.7821"",""1.7893"",""1.7908"",""1.7823"","""",""-0.38%"""
"09/01/2024,""1.7889"",""1.7860"",""1.7926"",""1.7834"","""",""0.18%"""
"08/01/2024,""1.7856"",""1.7878"",""1.7907"",""1.7813"","""",""-0.10%"""
"05/01/2024,""1.7873"",""1.7870"",""1.7982"",""1.7783"","""",""0.04%"""
"04/01/2024,""1.7866"",""1.7908"",""1.7919"",""1.7825"","""",""-0.21%"""
"03/01/2024,""1.7904"",""1.7874"",""1.7956"",""1.7837"","""",""0.17%"""
"02/01/2024,""1.7873"",""1.7721"",""1.7881"",""1.7717"","""",""0.88%"""
"01/01/2024,""1.7716"",""1.7720"",""1.7720"",""1.7707"","""",""-0.01%"""
"29/12/2023,""1.7718"",""1.7682"",""1.7727"",""1.7643"","""",""0.23%"""
"28/12/2023,""1.7677"",""1.7588"",""1.7693"",""1.7557"","""",""-0.42%"""
"27/12/2023,""1.7752"",""1.7759"",""1.7759"",""1.7759"","""",""0.16%"""
"26/12/2023,""1.7724"",""1.7775"",""1.7775"",""1.7724"","""",""-0.29%"""
"25/12/2023,""1.7775"",""1.7757"",""1.7775"",""1.7720"","""",""0.12%"""
"22/12/2023,""1.7754"",""1.7762"",""1.7790"",""1.7714"","""",""-0.02%"""
"21/12/2023,""1.7758"",""1.7874"",""1.7888"",""1.7759"","""",""-0.63%"""
"20/12/2023,""1.7870"",""1.7809"",""1.7896"",""1.7802"","""",""0.37%"""
"19/12/2023,""1.7805"",""1.7904"",""1.7919"",""1.7799"","""",""-0.52%"""
"18/12/2023,""1.7898"",""1.7917"",""1.7933"",""1.7891"","""",""-0.27%"""
"15/12/2023,""1.7947"",""1.7790"",""1.7962"",""1.7772"","""",""0.90%"""
"14/12/2023,""1.7787"",""1.7983"",""1.7989"",""1.7765"","""",""-1.07%"""
"13/12/2023,""1.7980"",""1.8120"",""1.8156"",""1.7947"","""",""-0.74%"""
"12/12/2023,""1.8114"",""1.8172"",""1.8181"",""1.8061"","""",""-0.28%"""
"11/12/2023,""1.8165"",""1.8163"",""1.8210"",""1.8144"","""",""-0.01%"""
"08/12/2023,""1.8166"",""1.8118"",""1.8239"",""1.8107"","""",""0.28%"""
"07/12/2023,""1.8115"",""1.8170"",""1.8185"",""1.8079"","""",""-0.28%"""
"06/12/2023,""1.8166"",""1.8114"",""1.8181"",""1.8102"","""",""0.32%"""
"05/12/2023,""1.8108"",""1.8048"",""1.8148"",""1.8029"","""",""0.35%"""
"04/12/2023,""1.8045"",""1.7984"",""1.8104"",""1.7972"","""",""0.45%"""
"01/12/2023,""1.7964"",""1.7965"",""1.8062"",""1.7920"","""",""0.02%"""
"30/11/2023,""1.7961"",""1.7829"",""1.7980"",""1.7804"","""",""0.76%"""
"29/11/2023,""1.7825"",""1.7793"",""1.7846"",""1.7751"","""",""0.21%"""
"28/11/2023,""1.7787"",""1.7855"",""1.7888"",""1.7765"","""",""-0.37%"""
"27/11/2023,""1.7853"",""1.7857"",""1.7904"",""1.7846"","""",""-0.11%"""
"24/11/2023,""1.7873"",""1.7933"",""1.7954"",""1.7863"","""",""-0.31%"""
"23/11/2023,""1.7929"",""1.7961"",""1.7971"",""1.7893"","""",""-0.16%"""
"22/11/2023,""1.7957"",""1.7925"",""1.8025"",""1.7904"","""",""0.20%"""
"21/11/2023,""1.7922"",""1.7878"",""1.7945"",""1.7835"","""",""0.27%"""
"20/11/2023,""1.7874"",""1.7911"",""1.7924"",""1.7856"","""",""-0.23%"""
"17/11/2023,""1.7916"",""1.8023"",""1.8070"",""1.7915"","""",""-0.57%"""
"16/11/2023,""1.8019"",""1.8031"",""1.8061"",""1.7950"","""",""-0.06%"""
"15/11/2023,""1.8029"",""1.7980"",""1.8059"",""1.7967"","""",""0.31%"""
"14/11/2023,""1.7974"",""1.8281"",""1.8293"",""1.7962"","""",""-1.65%"""
"13/11/2023,""1.8276"",""1.8299"",""1.8341"",""1.8267"","""",""-0.13%"""
"10/11/2023,""1.8300"",""1.8335"",""1.8355"",""1.8290"","""",""-0.16%"""
"09/11/2023,""1.8329"",""1.8266"",""1.8348"",""1.8233"","""",""0.38%"""
"08/11/2023,""1.8259"",""1.8279"",""1.8350"",""1.8248"","""",""-0.09%"""
"07/11/2023,""1.8275"",""1.8249"",""1.8341"",""1.8238"","""",""0.17%"""
"06/11/2023,""1.8244"",""1.8218"",""1.8253"",""1.8182"","""",""0.12%"""
"03/11/2023,""1.8222"",""1.8413"",""1.8427"",""1.8199"","""",""-1.02%"""
"02/11/2023,""1.8409"",""1.8504"",""1.8511"",""1.8334"","""",""-0.49%"""
"01/11/2023,""1.8499"",""1.8494"",""1.8598"",""1.8483"","""",""0.03%"""
"31/10/2023,""1.8493"",""1.8424"",""1.8527"",""1.8321"","""",""0.39%"""
"30/10/2023,""1.8421"",""1.8520"",""1.8546"",""1.8405"","""",""-0.48%"""
"27/10/2023,""1.8510"",""1.8518"",""1.8565"",""1.8454"","""",""-0.01%"""
"26/10/2023,""1.8511"",""1.8513"",""1.8588"",""1.8495"","""",""0.04%"""
"25/10/2023,""1.8504"",""1.8470"",""1.8513"",""1.8438"","""",""0.23%"""
"24/10/2023,""1.8462"",""1.8330"",""1.8483"",""1.8289"","""",""0.74%"""
"23/10/2023,""1.8326"",""1.8490"",""1.8502"",""1.8317"","""",""-0.73%"""
"20/10/2023,""1.8461"",""1.8483"",""1.8515"",""1.8443"","""",""-0.10%"""
"19/10/2023,""1.8480"",""1.8565"",""1.8579"",""1.8424"","""",""-0.41%"""
"18/10/2023,""1.8557"",""1.8491"",""1.8589"",""1.8460"","""",""0.38%"""
"17/10/2023,""1.8487"",""1.8521"",""1.8571"",""1.8459"","""",""-0.16%"""
"16/10/2023,""1.8517"",""1.8583"",""1.8587"",""1.8513"","""",""-0.48%"""
"13/10/2023,""1.8607"",""1.8578"",""1.8637"",""1.8522"","""",""0.18%"""
"12/10/2023,""1.8573"",""1.8419"",""1.8583"",""1.8382"","""",""0.86%"""
"11/10/2023,""1.8414"",""1.8441"",""1.8483"",""1.8390"","""",""-0.12%"""
"10/10/2023,""1.8436"",""1.8509"",""1.8533"",""1.8414"","""",""-0.38%"""
"09/10/2023,""1.8507"",""1.8535"",""1.8593"",""1.8473"","""",""0.20%"""
"06/10/2023,""1.8470"",""1.8537"",""1.8658"",""1.8450"","""",""-0.33%"""
"05/10/2023,""1.8532"",""1.8619"",""1.8628"",""1.8534"","""",""-0.44%"""
"04/10/2023,""1.8614"",""1.8680"",""1.8714"",""1.8569"","""",""-0.36%"""
"03/10/2023,""1.8681"",""1.8666"",""1.8720"",""1.8637"","""",""0.10%"""
"02/10/2023,""1.8662"",""1.8511"",""1.8669"",""1.8463"","""",""0.89%"""
"29/09/2023,""1.8498"",""1.8511"",""1.8527"",""1.8421"","""",""-0.05%"""
"28/09/2023,""1.8507"",""1.8625"",""1.8644"",""1.8487"","""",""-0.60%"""
"27/09/2023,""1.8618"",""1.8500"",""1.8649"",""1.8496"","""",""0.66%"""
"26/09/2023,""1.8496"",""1.8464"",""1.8519"",""1.8435"","""",""0.20%"""
"25/09/2023,""1.8460"",""1.8366"",""1.8496"",""1.8358"","""",""0.52%"""
"22/09/2023,""1.8364"",""1.8344"",""1.8426"",""1.8325"","""",""0.13%"""
"21/09/2023,""1.8340"",""1.8346"",""1.8420"",""1.8322"","""",""-0.01%"""
"20/09/2023,""1.8342"",""1.8315"",""1.8367"",""1.8214"","""",""0.17%"""
"19/09/2023,""1.8311"",""1.8293"",""1.8324"",""1.8246"","""",""0.13%"""
"18/09/2023,""1.8287"",""1.8333"",""1.8356"",""1.8280"","""",""-0.30%"""
"15/09/2023,""1.8342"",""1.8378"",""1.8395"",""1.8299"","""",""-0.17%"""
"14/09/2023,""1.8374"",""1.8230"",""1.8398"",""1.8188"","""",""0.85%"""
"13/09/2023,""1.8220"",""1.8185"",""1.8259"",""1.8167"","""",""0.20%"""
"12/09/2023,""1.8183"",""1.8194"",""1.8271"",""1.8165"","""",""-0.04%"""
"11/09/2023,""1.8190"",""1.8227"",""1.8253"",""1.8178"","""",""-0.48%"""
"08/09/2023,""1.8277"",""1.8288"",""1.8290"",""1.8203"","""",""-0.04%"""
"07/09/2023,""1.8285"",""1.8235"",""1.8303"",""1.8234"","""",""0.19%"""
"06/09/2023,""1.8251"",""1.8233"",""1.8265"",""1.8193"","""",""0.07%"""
"05/09/2023,""1.8238"",""1.8117"",""1.8269"",""1.8111"","""",""0.68%"""
"04/09/2023,""1.8114"",""1.8152"",""1.8159"",""1.8092"","""",""-0.18%"""
"01/09/2023,""1.8146"",""1.8036"",""1.8159"",""1.7974"","""",""0.63%"""
"31/08/2023,""1.8032"",""1.7901"",""1.8053"",""1.7876"","""",""0.73%"""
"30/08/2023,""1.7902"",""1.7976"",""1.8019"",""1.7869"","""",""-0.40%"""
"29/08/2023,""1.7973"",""1.8078"",""1.8141"",""1.7955"","""",""-0.55%"""
"28/08/2023,""1.8072"",""1.8106"",""1.8123"",""1.8072"","""",""-0.23%"""
"25/08/2023,""1.8113"",""1.8093"",""1.8168"",""1.8039"","""",""0.13%"""
"24/08/2023,""1.8089"",""1.8008"",""1.8103"",""1.7981"","""",""0.49%"""
"23/08/2023,""1.8000"",""1.8031"",""1.8108"",""1.7989"","""",""-0.16%"""
"22/08/2023,""1.8028"",""1.7955"",""1.8056"",""1.7891"","""",""0.46%"""
"21/08/2023,""1.7946"",""1.7974"",""1.7989"",""1.7919"","""",""-0.24%"""
"18/08/2023,""1.7990"",""1.7989"",""1.8036"",""1.7952"","""",""0.03%"""
"17/08/2023,""1.7985"",""1.7983"",""1.8017"",""1.7911"","""",""0.06%"""
"16/08/2023,""1.7974"",""1.7936"",""1.7993"",""1.7885"","""",""0.22%"""
"15/08/2023,""1.7934"",""1.7933"",""1.7948"",""1.7855"","""",""0.03%"""
"14/08/2023,""1.7928"",""1.7868"",""1.7987"",""1.7843"","""",""0.36%"""
"11/08/2023,""1.7863"",""1.7809"",""1.7874"",""1.7771"","""",""0.31%"""
"10/08/2023,""1.7808"",""1.7823"",""1.7835"",""1.7675"","""",""-0.06%"""
"09/08/2023,""1.7818"",""1.7851"",""1.7860"",""1.7787"","""",""-0.15%"""
"08/08/2023,""1.7845"",""1.7776"",""1.7896"",""1.7760"","""",""0.41%"""
"07/08/2023,""1.7773"",""1.7793"",""1.7838"",""1.7760"","""",""0.05%"""
"04/08/2023,""1.7764"",""1.7864"",""1.7887"",""1.7711"","""",""-0.54%"""
"03/08/2023,""1.7861"",""1.7874"",""1.7924"",""1.7840"","""",""-0.09%"""
"02/08/2023,""1.7877"",""1.7806"",""1.7916"",""1.7747"","""",""0.44%"""
"01/08/2023,""1.7799"",""1.7788"",""1.7859"",""1.7774"","""",""0.09%"""
"31/07/2023,""1.7783"",""1.7766"",""1.7793"",""1.7706"","""",""0.17%"""
"28/07/2023,""1.7752"",""1.7821"",""1.7872"",""1.7703"","""",""-0.35%"""
"27/07/2023,""1.7814"",""1.7643"",""1.7838"",""1.7540"","""",""0.97%"""
"26/07/2023,""1.7642"",""1.7692"",""1.7721"",""1.7612"","""",""-0.25%"""
"25/07/2023,""1.7687"",""1.7678"",""1.7748"",""1.7640"","""",""0.07%"""
"24/07/2023,""1.7674"",""1.7584"",""1.7685"",""1.7548"","""",""0.56%"""
"21/07/2023,""1.7575"",""1.7568"",""1.7608"",""1.7548"","""",""0.03%"""
"20/07/2023,""1.7569"",""1.7459"",""1.7592"",""1.7416"","""",""0.64%"""
"19/07/2023,""1.7457"",""1.7418"",""1.7503"",""1.7399"","""",""0.24%"""
"18/07/2023,""1.7415"",""1.7407"",""1.7451"",""1.7344"","""",""0.07%"""
"17/07/2023,""1.7403"",""1.7426"",""1.7458"",""1.7385"","""",""-0.07%"""
"14/07/2023,""1.7415"",""1.7422"",""1.7457"",""1.7392"","""",""-0.02%"""
"13/07/2023,""1.7418"",""1.7574"",""1.7576"",""1.7418"","""",""-0.86%"""
"12/07/2023,""1.7569"",""1.7767"",""1.7775"",""1.7556"","""",""-1.09%"""
"11/07/2023,""1.7762"",""1.7780"",""1.7819"",""1.7737"","""",""-0.07%"""
"10/07/2023,""1.7775"",""1.7854"",""1.7873"",""1.7776"","""",""-0.29%"""
"07/07/2023,""1.7826"",""1.7965"",""1.7999"",""1.7823"","""",""-0.73%"""
"06/07/2023,""1.7957"",""1.8019"",""1.8055"",""1.7940"","""",""-0.32%"""
"05/07/2023,""1.8015"",""1.7978"",""1.8026"",""1.7930"","""",""0.23%"""
"04/07/2023,""1.7974"",""1.7924"",""1.7983"",""1.7915"","""",""0.32%"""
"03/07/2023,""1.7917"",""1.7921"",""1.7993"",""1.7887"","""",""-0.02%"""
"30/06/2023,""1.7920"",""1.8000"",""1.8053"",""1.7889"","""",""-0.44%"""
"29/06/2023,""1.8000"",""1.7922"",""1.8010"",""1.7874"","""",""0.46%"""
"28/06/2023,""1.7918"",""1.7845"",""1.7950"",""1.7839"","""",""0.44%"""
"27/06/2023,""1.7839"",""1.7933"",""1.7939"",""1.7816"","""",""-0.51%"""
"26/06/2023,""1.7930"",""1.7933"",""1.7966"",""1.7909"","""",""-0.12%"""
"23/06/2023,""1.7952"",""1.7850"",""1.8036"",""1.7846"","""",""0.59%"""
"22/06/2023,""1.7846"",""1.7803"",""1.7866"",""1.7761"","""",""0.26%"""
"21/06/2023,""1.7799"",""1.7913"",""1.7936"",""1.7793"","""",""-0.63%"""
"20/06/2023,""1.7911"",""1.7906"",""1.7956"",""1.7866"","""",""0.05%"""
"19/06/2023,""1.7902"",""1.7888"",""1.7933"",""1.7874"","""",""0.12%"""
"16/06/2023,""1.7880"",""1.7869"",""1.7916"",""1.7826"","""",""0.07%"""
"15/06/2023,""1.7867"",""1.8055"",""1.8104"",""1.7855"","""",""-1.04%"""
"14/06/2023,""1.8054"",""1.8120"",""1.8154"",""1.8001"","""",""-0.36%"""
"13/06/2023,""1.8119"",""1.8182"",""1.8187"",""1.8069"","""",""-0.32%"""
"12/06/2023,""1.8177"",""1.8204"",""1.8206"",""1.8124"","""",""-0.08%"""
"09/06/2023,""1.8192"",""1.8138"",""1.8208"",""1.8132"","""",""0.32%"""
"08/06/2023,""1.8134"",""1.8283"",""1.8287"",""1.8131"","""",""-0.79%"""
"07/06/2023,""1.8279"",""1.8290"",""1.8334"",""1.8210"","""",""-0.04%"""
"06/06/2023,""1.8286"",""1.8259"",""1.8336"",""1.8221"","""",""0.17%"""
"05/06/2023,""1.8255"",""1.8289"",""1.8324"",""1.8240"","""",""-0.04%"""
"02/06/2023,""1.8263"",""1.8175"",""1.8272"",""1.8145"","""",""0.51%"""
"01/06/2023,""1.8170"",""1.8296"",""1.8346"",""1.8161"","""",""-0.68%"""
"31/05/2023,""1.8295"",""1.8218"",""1.8391"",""1.8216"","""",""0.44%"""
"30/05/2023,""1.8215"",""1.8265"",""1.8327"",""1.8197"","""",""-0.25%"""
"29/05/2023,""1.8261"",""1.8216"",""1.8271"",""1.8203"","""",""0.18%"""
"26/05/2023,""1.8228"",""1.8235"",""1.8278"",""1.8177"","""",""-0.02%"""
"25/05/2023,""1.8231"",""1.8218"",""1.8266"",""1.8203"","""",""0.37%"""
"24/05/2023,""1.8164"",""1.8163"",""1.8166"",""1.8160"","""",""0.02%"""
"23/05/2023,""1.8160"",""1.8088"",""1.8178"",""1.8074"","""",""0.42%"""
"22/05/2023,""1.8084"",""1.8080"",""1.8118"",""1.8059"","""",""-0.08%"""
"19/05/2023,""1.8099"",""1.8159"",""1.8178"",""1.8060"","""",""-0.31%"""
"18/05/2023,""1.8156"",""1.8041"",""1.8175"",""1.8028"","""",""0.64%"""
"17/05/2023,""1.8040"",""1.8006"",""1.8094"",""1.7986"","""",""0.23%"""
"16/05/2023,""1.7999"",""1.7987"",""1.8020"",""1.7934"","""",""0.10%"""
"15/05/2023,""1.7981"",""1.8004"",""1.8026"",""1.7959"","""",""-0.23%"""
"12/05/2023,""1.8022"",""1.7919"",""1.8030"",""1.7884"","""",""0.60%"""
"11/05/2023,""1.7915"",""1.7809"",""1.7945"",""1.7782"","""",""0.62%"""
"10/05/2023,""1.7804"",""1.7845"",""1.7878"",""1.7768"","""",""-0.22%"""
"09/05/2023,""1.7843"",""1.7796"",""1.7876"",""1.7778"","""",""0.44%"""
